implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
go,root-help,120,6329.120,4170.000,4170.000,13432,814,0,70,0
rust,root-help,120,2476.603,0.000,2388.000,6480,353,0,1,0
rust,root-help,121,3895.849,1917.000,1917.000,6724,348,0,1,0
go,root-help,121,8849.324,5118.000,6398.000,13544,851,0,79,3
go,root-help,122,7463.632,7622.000,2177.000,13428,818,0,84,1
rust,root-help,122,2148.987,0.000,2020.000,6576,350,0,1,0
rust,root-help,123,5580.644,2245.000,2245.000,6484,349,0,1,1
go,root-help,123,10243.974,6459.000,6459.000,13404,820,0,92,0
go,root-help,124,6202.682,1198.000,5990.000,13404,828,0,76,0
rust,root-help,124,2544.159,1234.000,1234.000,6624,349,0,1,0
rust,root-help,125,4737.621,1019.000,3059.000,6600,350,0,1,1
go,root-help,125,6096.793,0.000,8272.000,13436,814,0,58,0
go,root-help,126,7030.127,3119.000,7279.000,13148,754,0,61,1
rust,root-help,126,2310.090,1112.000,1112.000,6752,350,0,1,0
rust,root-help,127,2433.862,2316.000,0.000,6656,350,0,1,0
go,root-help,127,4812.170,2046.000,4092.000,13440,805,0,59,0
go,root-help,128,5353.788,3953.000,2635.000,13340,813,0,52,0
rust,root-help,128,2381.815,1157.000,1157.000,6724,351,0,1,0
rust,root-help,129,1987.144,0.000,1878.000,6284,358,0,1,0
go,root-help,129,4509.292,2467.000,3701.000,13564,848,0,61,0
go,root-help,130,6017.044,2983.000,3978.000,13132,772,0,73,1
rust,root-help,130,2049.901,976.000,976.000,6656,349,0,1,0
rust,root-help,131,1886.674,1797.000,0.000,6572,350,0,1,0
go,root-help,131,5023.999,4774.000,1909.000,13304,822,0,62,0
go,root-help,132,5270.942,3790.000,2526.000,13248,794,0,62,0
rust,root-help,132,3059.989,996.000,1992.000,6684,350,0,1,0
rust,root-help,133,2458.187,789.000,1579.000,6272,355,0,1,0
go,root-help,133,5300.297,3393.000,3393.000,13312,797,0,59,0
go,root-help,134,5322.710,2560.000,4267.000,13548,834,0,67,0
rust,root-help,134,2635.260,0.000,2590.000,6684,350,0,1,0
rust,root-help,135,2266.908,0.000,2220.000,6676,350,0,1,0
go,root-help,135,5024.600,2527.000,3791.000,13292,793,0,64,0
go,root-help,136,4232.091,1733.000,3466.000,13148,789,0,58,0
rust,root-help,136,1681.670,0.000,1617.000,6516,349,0,1,0
rust,root-help,137,1573.525,760.000,760.000,6600,349,0,1,0
go,root-help,137,6455.969,3144.000,5241.000,13432,829,0,86,0
go,root-help,138,6171.184,2282.000,5324.000,13416,816,0,79,0
rust,root-help,138,2729.247,1048.000,1048.000,6608,351,0,1,1
rust,root-help,139,2797.244,0.000,2751.000,6748,350,0,1,0
go,root-help,139,4310.818,4214.000,1404.000,13180,764,0,60,0
go,root-help,140,5708.524,1415.000,5660.000,13164,753,0,68,0
rust,root-help,140,1827.904,0.000,1776.000,6680,349,0,1,0
rust,root-help,141,1564.430,0.000,1499.000,6732,351,0,1,0
go,root-help,141,4837.127,3171.000,3171.000,13560,848,0,71,0
go,root-help,142,5544.536,888.000,6219.000,13096,775,0,62,0
rust,root-help,142,3879.859,957.000,2871.000,6704,350,0,1,0
rust,root-help,143,1949.714,0.000,1882.000,6652,351,0,1,0
go,root-help,143,4844.671,2126.000,4252.000,13404,817,0,65,0
go,root-help,144,4346.626,4143.000,1381.000,13404,809,0,55,0
rust,root-help,144,3564.045,0.000,3503.000,6780,352,0,1,0
rust,root-help,145,3660.107,0.000,3592.000,6604,350,0,1,0
go,root-help,145,9425.717,6438.000,5365.000,13300,793,0,89,0
go,root-help,146,7200.417,4491.000,4491.000,13436,806,0,87,0
rust,root-help,146,2866.545,1834.000,917.000,6688,350,0,1,1
rust,root-help,147,2694.583,0.000,2613.000,6368,350,0,1,0
go,root-help,147,8064.820,4508.000,5635.000,13504,838,0,90,0
go,root-help,148,5989.152,5322.000,2661.000,13404,836,0,76,0
rust,root-help,148,2413.564,1159.000,1159.000,6600,349,0,1,0
rust,root-help,149,3034.881,0.000,2926.000,6720,351,0,1,1
go,root-help,149,6711.938,2173.000,6521.000,13568,828,0,66,0
go,root-help,150,8313.900,6612.000,4408.000,13348,800,0,79,1
rust,root-help,150,3526.084,1725.000,1725.000,6640,349,0,1,0
rust,root-help,151,2909.927,946.000,1893.000,6596,351,0,1,0
go,root-help,151,5898.270,2080.000,6240.000,13212,804,0,71,0
go,root-help,152,7502.805,4895.000,4895.000,13220,766,0,60,0
rust,root-help,152,2450.594,784.000,1568.000,6556,349,0,1,0
rust,root-help,153,3581.930,2319.000,1159.000,6232,357,0,1,0
go,root-help,153,9579.797,2642.000,9687.000,13476,792,0,83,1
go,root-help,154,9436.347,5926.000,5926.000,13184,747,0,84,0
rust,root-help,154,3465.080,0.000,3358.000,6656,350,0,1,0
rust,root-help,155,2728.916,0.000,2607.000,6648,351,0,1,0
go,root-help,155,5292.652,4484.000,2242.000,13436,791,0,61,0
go,root-help,156,6125.368,3750.000,3750.000,13404,821,0,76,0
rust,root-help,156,2739.686,889.000,1778.000,6728,348,0,1,0
rust,root-help,157,2356.558,1119.000,1119.000,6684,351,0,1,0
go,root-help,157,6002.887,3994.000,3994.000,13436,824,0,69,0
go,root-help,158,5098.368,2217.000,4434.000,13404,808,0,64,0
rust,root-help,158,2551.824,0.000,1996.000,6848,350,0,1,1
rust,root-help,159,2581.109,0.000,2487.000,6672,350,0,1,0
go,root-help,159,5096.224,2001.000,5004.000,13436,822,0,62,0
go,root-help,160,9312.183,6052.000,4842.000,13104,782,0,82,1
rust,root-help,160,3464.980,0.000,3366.000,6664,350,0,1,0
rust,root-help,161,3943.698,952.000,2856.000,6656,350,0,1,0
go,root-help,161,6192.154,4449.000,4449.000,13180,776,0,72,1
go,root-help,162,8562.274,2665.000,7997.000,13600,856,0,67,2
rust,root-help,162,2506.970,1197.000,1197.000,6684,350,0,1,1
rust,root-help,163,3610.072,1160.000,2321.000,6540,349,0,1,0
go,root-help,163,7574.120,5872.000,2936.000,13476,829,0,72,6
go,root-help,164,5422.477,2813.000,3750.000,13216,768,0,67,5
