implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
rust,root-help,40,1672.673,0.000,1628.000,6596,350,0,1,1
rust,root-help,41,1377.938,1336.000,0.000,6624,349,0,1,1
go,root-help,41,4168.250,950.000,2852.000,13220,703,0,38,39
go,root-help,42,4808.525,3191.000,797.000,13184,691,0,38,33
rust,root-help,42,1784.873,862.000,862.000,6876,352,0,1,2
rust,root-help,43,2153.597,0.000,1716.000,6588,351,0,1,3
go,root-help,43,4259.001,2076.000,2076.000,13172,690,0,42,34
go,root-help,44,4694.200,1692.000,2538.000,13176,687,0,41,32
rust,root-help,44,1801.674,0.000,1748.000,6672,349,0,1,2
rust,root-help,45,1758.604,0.000,1409.000,6608,350,0,1,2
go,root-help,45,3671.839,0.000,3606.000,13216,715,0,38,35
go,root-help,46,4391.710,1593.000,2389.000,13164,696,0,43,35
rust,root-help,46,1933.372,941.000,941.000,6748,351,0,1,2
rust,root-help,47,1351.588,0.000,1310.000,6472,349,0,1,1
go,root-help,47,4571.408,896.000,3587.000,13084,682,0,41,35
go,root-help,48,4785.070,2187.000,2187.000,13148,700,0,40,36
rust,root-help,48,1822.965,1738.000,0.000,6628,350,0,1,1
rust,root-help,49,1494.607,722.000,722.000,6644,351,0,1,1
go,root-help,49,4135.289,928.000,2784.000,13180,684,0,15,13
go,root-help,50,4240.236,0.000,3839.000,13180,688,0,15,12
rust,root-help,50,1921.961,928.000,928.000,6696,350,0,1,2
rust,root-help,51,1628.719,783.000,783.000,6612,350,0,1,1
go,root-help,51,4597.356,1127.000,3382.000,13176,702,0,42,35
go,root-help,52,4203.979,1647.000,2471.000,13148,700,0,40,36
rust,root-help,52,1773.340,0.000,1724.000,6676,350,0,1,1
rust,root-help,53,1488.986,722.000,722.000,6500,349,0,1,1
go,root-help,53,4324.184,2122.000,2122.000,13164,699,0,20,13
go,root-help,54,3932.939,1928.000,1928.000,13216,707,0,39,34
rust,root-help,54,1538.149,747.000,747.000,6640,350,0,1,1
rust,root-help,55,1526.037,0.000,1465.000,6492,349,0,1,2
go,root-help,55,4437.175,870.000,3483.000,13164,691,0,47,38
go,root-help,56,5173.129,940.000,3760.000,13164,692,0,42,37
rust,root-help,56,1965.823,949.000,949.000,6736,351,0,1,1
rust,root-help,57,2162.682,0.000,1731.000,6632,351,0,1,2
go,root-help,57,4355.112,2126.000,2126.000,13148,687,0,18,11
go,root-help,58,4520.353,2469.000,1646.000,13148,706,0,40,35
rust,root-help,58,1895.620,1843.000,0.000,6684,349,0,1,1
rust,root-help,59,1904.227,767.000,767.000,6656,350,0,1,2
go,root-help,59,4112.025,1830.000,1830.000,13240,693,0,21,17
go,root-help,60,4754.573,1719.000,2578.000,13148,686,0,42,38
rust,root-help,60,1678.934,0.000,1631.000,6672,350,0,1,1
rust,root-help,61,1307.706,0.000,1269.000,6152,355,0,1,1
go,root-help,61,4396.630,996.000,2988.000,13148,707,0,43,36
go,root-help,62,4989.754,1801.000,2702.000,13236,693,0,37,33
rust,root-help,62,2242.313,1089.000,1089.000,6772,351,0,1,1
rust,root-help,63,2164.466,1046.000,1046.000,6844,351,0,1,1
go,root-help,63,5816.868,2626.000,2626.000,13164,688,0,46,44
go,root-help,64,5362.225,1609.000,3219.000,13180,693,0,47,38
rust,root-help,64,2441.897,0.000,2010.000,6564,350,0,1,2
rust,root-help,65,1619.613,780.000,780.000,6512,350,0,1,2
go,root-help,65,4076.818,1002.000,3008.000,13176,702,0,42,38
go,root-help,66,3791.723,1849.000,1849.000,13148,688,0,15,11
rust,root-help,66,1749.036,0.000,1694.000,6512,350,0,1,1
rust,root-help,67,1410.079,0.000,1362.000,6788,350,0,1,1
go,root-help,67,3632.185,0.000,3571.000,13180,702,0,41,34
go,root-help,68,4620.591,0.000,4117.000,13180,692,0,47,32
rust,root-help,68,1869.461,906.000,906.000,6600,350,0,1,2
rust,root-help,69,1383.580,0.000,1341.000,6668,351,0,1,1
go,root-help,69,4930.162,2686.000,1790.000,13176,694,0,37,34
go,root-help,70,3887.003,2858.000,952.000,13176,690,0,37,32
rust,root-help,70,2089.976,1014.000,1014.000,6636,350,0,1,1
rust,root-help,71,2278.009,726.000,1453.000,6652,350,0,1,2
go,root-help,71,5287.773,1799.000,2699.000,13128,701,0,31,26
go,root-help,72,4546.231,3347.000,1115.000,13180,699,0,41,36
rust,root-help,72,1801.264,1751.000,0.000,6668,351,0,1,1
rust,root-help,73,1679.345,0.000,1579.000,6684,349,0,1,1
go,root-help,73,5551.549,836.000,4180.000,13164,703,0,49,41
go,root-help,74,5126.150,3015.000,2010.000,13224,692,0,16,13
rust,root-help,74,1922.360,0.000,1865.000,6428,350,0,1,1
rust,root-help,75,2538.738,0.000,2111.000,6608,350,0,1,2
go,root-help,75,5569.875,842.000,4212.000,13080,686,0,45,44
go,root-help,76,4583.599,3374.000,1124.000,13180,707,0,41,33
rust,root-help,76,2453.439,1588.000,794.000,6344,350,0,1,1
rust,root-help,77,2296.765,0.000,2196.000,6588,349,0,1,1
go,root-help,77,5672.216,3397.000,1698.000,13164,692,0,43,43
go,root-help,78,5774.408,1896.000,3792.000,13220,700,0,51,47
rust,root-help,78,2210.822,1066.000,1066.000,6656,349,0,1,2
rust,root-help,79,1978.106,1894.000,0.000,6544,350,0,1,1
go,root-help,79,5255.343,1885.000,2828.000,13160,696,0,23,20
go,root-help,80,5230.426,1745.000,2618.000,13180,687,0,15,13
rust,root-help,80,2424.615,0.000,2341.000,6644,350,0,1,2
rust,root-help,81,2296.945,1104.000,1104.000,6484,349,0,1,1
go,root-help,81,5700.931,3388.000,1694.000,13148,686,0,15,13
go,root-help,82,6304.204,1891.000,3783.000,13032,679,0,17,13
rust,root-help,82,2685.113,0.000,2561.000,6540,350,0,1,2
rust,root-help,83,2440.023,1171.000,1171.000,6236,356,0,1,1
go,root-help,83,6599.870,1716.000,4292.000,13184,708,0,55,50
go,root-help,84,5173.609,1014.000,4058.000,13176,690,0,20,14
rust,root-help,84,2374.551,0.000,2308.000,6716,349,0,1,1
rust,root-help,85,2141.383,0.000,2068.000,6628,349,0,1,1
go,root-help,85,5228.271,3050.000,2033.000,13140,705,0,21,15
go,root-help,86,5912.527,2668.000,2668.000,13160,692,0,31,27
rust,root-help,86,2315.681,0.000,2251.000,6620,350,0,1,1
rust,root-help,87,2648.376,1414.000,707.000,6468,350,0,1,2
go,root-help,87,5177.447,2031.000,3046.000,13180,688,0,16,12
go,root-help,88,6234.743,3811.000,1905.000,13148,691,0,50,42
rust,root-help,88,2914.716,0.000,2429.000,6716,350,0,1,2
rust,root-help,89,2354.673,752.000,1505.000,6688,350,0,1,2
go,root-help,89,5419.951,0.000,5316.000,13148,701,0,16,12
go,root-help,90,5720.347,3737.000,1868.000,13184,711,0,48,43
rust,root-help,90,2581.730,1253.000,1253.000,6472,349,0,1,1
rust,root-help,91,2366.055,0.000,2266.000,6632,348,0,1,2
go,root-help,91,5951.942,3194.000,2129.000,13160,691,0,28,21
go,root-help,92,5677.125,2226.000,3339.000,13216,701,0,43,39
rust,root-help,92,2447.588,0.000,2379.000,6556,350,0,1,1
rust,root-help,93,2074.978,997.000,997.000,6600,350,0,1,1
go,root-help,93,5499.612,1944.000,2917.000,13180,688,0,16,13
go,root-help,94,5538.024,1080.000,4322.000,13184,701,0,39,36
rust,root-help,94,3014.834,823.000,1647.000,6716,350,0,1,2
rust,root-help,95,2365.032,0.000,2272.000,6576,350,0,1,2
go,root-help,95,5107.676,1516.000,3032.000,13180,707,0,41,37
go,root-help,96,4127.955,1012.000,3037.000,13184,704,0,15,7
rust,root-help,96,1750.989,0.000,1698.000,6724,350,0,1,1
rust,root-help,97,1949.983,0.000,1550.000,6600,351,0,1,2
go,root-help,97,3874.019,1898.000,1898.000,13148,700,0,39,35
go,root-help,98,4551.671,2460.000,1640.000,13180,685,0,40,34
rust,root-help,98,1881.305,1822.000,0.000,6536,351,0,1,2
rust,root-help,99,1638.038,0.000,1575.000,6664,350,0,1,2
go,root-help,99,3859.240,948.000,2845.000,13148,686,0,41,34
go,root-help,100,4882.753,2628.000,1752.000,13176,698,0,25,20
rust,root-help,100,1881.584,910.000,910.000,6464,350,0,1,2
rust,root-help,101,1813.688,0.000,1749.000,6644,349,0,1,1
go,root-help,101,4272.205,3122.000,1040.000,13084,692,0,42,37
go,root-help,102,4741.900,856.000,3426.000,13164,687,0,38,36
rust,root-help,102,1803.178,876.000,876.000,6516,350,0,1,1
rust,root-help,103,1446.497,1399.000,0.000,6544,349,0,1,1
go,root-help,103,3904.155,2878.000,959.000,13164,691,0,39,31
go,root-help,104,4654.655,1664.000,2497.000,13164,691,0,41,36
rust,root-help,104,1939.685,0.000,1884.000,6788,351,0,1,1
rust,root-help,105,1960.313,0.000,1896.000,6572,350,0,1,1
go,root-help,105,6314.492,3545.000,1772.000,13148,704,0,46,40
go,root-help,106,6310.405,4538.000,907.000,13160,687,0,39,37
rust,root-help,106,2031.747,975.000,975.000,6628,348,0,1,1
